Profesor	Id. Asignatura	Horas	Resp	Asignatura
Anonimizado 32	41	20	1	Robótica y Domótica
Anonimizado 32	54	35	1	Estructura de Computadores
Anonimizado 32	313	10		Trabajo Fin de Grado
Anonimizado 32	147	0		Fundamentos Físicos de la Informática
Anonimizado 32				
Anonimizado 32				
Anonimizado 32				
Anonimizado 32				
Anonimizado 32				
Anonimizado 32				
Anonimizado 32				
Anonimizado 33	182	30		Informática y Competencia Digital Docente
Anonimizado 33	313	26		Trabajo Fin de Grado
Anonimizado 33				
Anonimizado 33				
Anonimizado 33				
Anonimizado 33				
Anonimizado 33				
Anonimizado 33				
Anonimizado 33				
Anonimizado 33				
Anonimizado 33				
Anonimizado 33				
Anonimizado 34	143	60	1	Visión Artificial
Anonimizado 34	313	4		Trabajo Fin de Grado
Anonimizado 34				
Anonimizado 34				
Anonimizado 34				
Anonimizado 34				
Anonimizado 34				
Anonimizado 34				
Anonimizado 34				
Anonimizado 34				
Anonimizado 34				
Anonimizado 34				
Anonimizado 35	31	60	1	Desarrollo de Aplicaciones Distribuidas
Anonimizado 35	61	30	1	Ampliación de Ingeniería del Software
Anonimizado 35	166	0		Sistemas Distribuidos
Anonimizado 35				
Anonimizado 35				
Anonimizado 35				
Anonimizado 35				
Anonimizado 35				
Anonimizado 35				
Anonimizado 35				
Anonimizado 35				
Anonimizado 35				
Anonimizado 36	310	60		Fundamentos Físicos de los Computadores
Anonimizado 36	256	30		Estructuras de Datos
Anonimizado 36	149	0		Principios Jurídicos Básicos, Deontología Profesional e Igualdad
Anonimizado 36				
Anonimizado 36				
Anonimizado 36				
Anonimizado 36				
Anonimizado 36				
Anonimizado 36				
Anonimizado 36				
Anonimizado 36				
Anonimizado 36				
Anonimizado 37	118	60		Introducción a la Programación (Grupo 2)
Anonimizado 37	123	60		Ingeniería del Software
Anonimizado 37				
Anonimizado 37				
Anonimizado 37				
Anonimizado 37				
Anonimizado 37				
Anonimizado 37				
Anonimizado 37				
Anonimizado 37				
Anonimizado 37				
Anonimizado 37				
Anonimizado 38	268	50	1	Redes de Computadores
Anonimizado 38	269	45	1	Seguridad en Redes
Anonimizado 38	157	0		Redes de Computadores
Anonimizado 38				
Anonimizado 38				
Anonimizado 38				
Anonimizado 38				
Anonimizado 38				
Anonimizado 38				
Anonimizado 38				
Anonimizado 38				
Anonimizado 38				
Anonimizado 39	97	60	1	Evolución y Adaptación del Software
Anonimizado 39				
Anonimizado 39				
Anonimizado 39				
Anonimizado 39				
Anonimizado 39				
Anonimizado 39				
Anonimizado 39				
Anonimizado 39				
Anonimizado 39				
Anonimizado 39				
Anonimizado 39				
Anonimizado 40	188	35		Matemática Discreta
Anonimizado 40	255	60	1	Estadística
Anonimizado 40	8	60	1	Estadística
Anonimizado 40	287	30	1	Bioestadística
Anonimizado 40	289	20		Estadística
Anonimizado 40				
Anonimizado 40				
Anonimizado 40				
Anonimizado 40				
Anonimizado 40				
Anonimizado 40				
Anonimizado 40				
Anonimizado 41	307	60	1	Programación II
Anonimizado 41	194	30		Bases de Datos
Anonimizado 41	171	0		Sistemas de Información
Anonimizado 41	168	0		Sistemas Operativos
Anonimizado 41				
Anonimizado 41				
Anonimizado 41				
Anonimizado 41				
Anonimizado 41				
Anonimizado 41				
Anonimizado 41				
Anonimizado 41				
Anonimizado 42	43	60	1	Estadística
Anonimizado 42	76	60	1	Estadística
Anonimizado 42	306	30		Probabilidad y Estadística
Anonimizado 42	144	0	1	Estadística
Anonimizado 42				
Anonimizado 42				
Anonimizado 42				
Anonimizado 42				
Anonimizado 42				
Anonimizado 42				
Anonimizado 42				
Anonimizado 42				
Anonimizado 43	313	19		Trabajo Fin de Grado
Anonimizado 43	92	30		Programación Orientada a Objetos
Anonimizado 43	280	15		Visión Artificial Aplicada a la Ciberseguridad
Anonimizado 43				
Anonimizado 43				
Anonimizado 43				
Anonimizado 43				
Anonimizado 43				
Anonimizado 43				
Anonimizado 43				
Anonimizado 43				
Anonimizado 43				
Anonimizado 44	279	60	1	Sistemas Operativos
Anonimizado 44	103	60	1	Sistemas Operativos
Anonimizado 44	264	60	1	Estructura de Computadores
Anonimizado 44				
Anonimizado 44				
Anonimizado 44				
Anonimizado 44				
Anonimizado 44				
Anonimizado 44				
Anonimizado 44				
Anonimizado 44				
Anonimizado 44				
Anonimizado 45	313	60		Trabajo Fin de Grado
Anonimizado 45	89	25		Fundamentos de la Web
Anonimizado 45	159	0		Ampliación de Ingeniería del Software
Anonimizado 45				
Anonimizado 45				
Anonimizado 45				
Anonimizado 45				
Anonimizado 45				
Anonimizado 45				
Anonimizado 45				
Anonimizado 45				
Anonimizado 45				
Anonimizado 46	189	30		Modelado Geométrico
Anonimizado 46	228	60	1	Modelado Geométrico
Anonimizado 46	290	60	1	Fundamentos Físicos
Anonimizado 46				
Anonimizado 46				
Anonimizado 46				
Anonimizado 46				
Anonimizado 46				
Anonimizado 46				
Anonimizado 46				
Anonimizado 46				
Anonimizado 46				
Anonimizado 47				
Anonimizado 47	267	60	1	Programación Avanzada
Anonimizado 47	35	40		Lenguajes de Programación
Anonimizado 47	164	0		Programación Declarativa
Anonimizado 47				
Anonimizado 47				
Anonimizado 47				
Anonimizado 47				
Anonimizado 47				
Anonimizado 47				
Anonimizado 47				
Anonimizado 47				
Anonimizado 48	85	60	1	Análisis e Ingeniería de Requisitos
Anonimizado 48	208	60		Juegos en Red
Anonimizado 48	106	30	1	Paradigmas de Programación
Anonimizado 48	313	6		Trabajo Fin de Grado
Anonimizado 48				
Anonimizado 48				
Anonimizado 48				
Anonimizado 48				
Anonimizado 48				
Anonimizado 48				
Anonimizado 48				
Anonimizado 48				
Anonimizado 49	180	50	1	Informática y Competencia Digital Docente
Anonimizado 49	175	40	1	Informática y Competencia Digital Docente
Anonimizado 49	313	15		Trabajo Fin de Grado
Anonimizado 49				
Anonimizado 49				
Anonimizado 49				
Anonimizado 49				
Anonimizado 49				
Anonimizado 49				
Anonimizado 49				
Anonimizado 49				
Anonimizado 49				
Anonimizado 50	203	30	1	Desarrollo de Juegos con Inteligencia Artificial
Anonimizado 50	242	30	1	Desarrollo de Juegos con Inteligencia Artificial
Anonimizado 50	313	13		Trabajo Fin de Grado
Anonimizado 50	17	20		Tecnología de Computadores (Grupo 1)
Anonimizado 50				
Anonimizado 50				
Anonimizado 50				
Anonimizado 50				
Anonimizado 50				
Anonimizado 50				
Anonimizado 50				
Anonimizado 50				
Anonimizado 51	88	15		Diseño y Análisis de Algoritmos
Anonimizado 51	201	30		Algoritmos para Juegos
Anonimizado 51	313	35		Trabajo Fin de Grado
Anonimizado 51	272	40		Diseño y Análisis de Algoritmos
Anonimizado 51				
Anonimizado 51				
Anonimizado 51				
Anonimizado 51				
Anonimizado 51				
Anonimizado 51				
Anonimizado 51				
Anonimizado 51				
Anonimizado 52	249	30	1	Procesadores Gráficos Avanzados
Anonimizado 52	35	40	1	Lenguajes de Programación
Anonimizado 52	313	45		Trabajo Fin de Grado
Anonimizado 52				
Anonimizado 52				
Anonimizado 52				
Anonimizado 52				
Anonimizado 52				
Anonimizado 52				
Anonimizado 52				
Anonimizado 52				
Anonimizado 52				
Anonimizado 53	52	30		Bases de Datos
Anonimizado 53	87	60	1	Bases de Datos
Anonimizado 53	205	30		Gestión de Datos en Medios Digitales
Anonimizado 53				
Anonimizado 53				
Anonimizado 53				
Anonimizado 53				
Anonimizado 53				
Anonimizado 53				
Anonimizado 53				
Anonimizado 53				
Anonimizado 53				
Anonimizado 54	52	60	1	Bases de Datos
Anonimizado 54	87	30		Bases de Datos
Anonimizado 54	108	60	1	Tecnologías de Bases de Datos
Anonimizado 54	262	30		Bases de Datos
Anonimizado 54				
Anonimizado 54				
Anonimizado 54				
Anonimizado 54				
Anonimizado 54				
Anonimizado 54				
Anonimizado 54				
Anonimizado 54				
Anonimizado 55	216	25	1	Informática (Grupo 1)
Anonimizado 55	217	25	1	Informática (Grupo 2)
Anonimizado 55	218	25	1	Informática (Teoría)
Anonimizado 55	236	20		Fundamentos de Tecnología de Videojuegos
Anonimizado 55	197	20		Fundamentos de Tecnología de Videojuegos
Anonimizado 55				
Anonimizado 55				
Anonimizado 55				
Anonimizado 55				
Anonimizado 55				
Anonimizado 55				
Anonimizado 55				
Anonimizado 56	10	60	1	Estructura de Computadores (Grupo 1)
Anonimizado 56	23	10		Organización de Computadores
Anonimizado 56	122	50	1	Estructura de Computadores
Anonimizado 56	138	60	1	Sistemas Operativos
Anonimizado 56	152	0	1	Estructura de Computadores
Anonimizado 56	309	60	1	Fundamentos de Arquitectura de Computadores
Anonimizado 56				
Anonimizado 56				
Anonimizado 56				
Anonimizado 56				
Anonimizado 56				
Anonimizado 56				
Anonimizado 57	200	60	1	Programación Avanzada
Anonimizado 57	239	60	1	Programación Avanzada
Anonimizado 57	265	20		Métodos Operativos y Estadísticos de Gestión
Anonimizado 57	274	15		Inteligencia Artificial
Anonimizado 57	213	20		Desarrollo de Aplicaciones para Dispositivos Móviles
Anonimizado 57	252	10		Desarrollo de Aplicaciones para Dispositivos Móviles
Anonimizado 57	226	30		Física para Videojuegos
Anonimizado 57				
Anonimizado 57				
Anonimizado 57				
Anonimizado 57				
Anonimizado 57				
Anonimizado 58	296	60	1	Diseño y Análisis de Algoritmos
Anonimizado 58	213	20		Desarrollo de Aplicaciones para Dispositivos Móviles
Anonimizado 58	162	0		Interacción Persona-Ordenador
Anonimizado 58				
Anonimizado 58				
Anonimizado 58				
Anonimizado 58				
Anonimizado 58				
Anonimizado 58				
Anonimizado 58				
Anonimizado 58				
Anonimizado 58				
Anonimizado 59	208	20		Juegos en Red
Anonimizado 59	294	60	1	Metodología de la Programación
Anonimizado 59	50	60		Introducción a la Programación (Grupo 2)
Anonimizado 59	156		1	Programación Orientada a Objetos
Anonimizado 59				
Anonimizado 59				
Anonimizado 59				
Anonimizado 59				
Anonimizado 59				
Anonimizado 59				
Anonimizado 59				
Anonimizado 59				
Anonimizado 60	11	60		Estructura de Computadores (Grupo 2)
Anonimizado 60	125	30	1	Organización y Arquitectura de Computadores
Anonimizado 60	122	20		Estructura de Computadores
